time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss
3,658,12.37,1,1.37,2048,,,,,,,,,,
3,1305,13.73,2,2.73,4096,0.1697265625,32.60443466901779,-0.015755646990146487,12.520730018615723,10,0.2,0.011283096,0.0003,-0.0001544952392578125,-1.0867220893502236
3,1951,15.21,3,4.21,6144,0.171826171875,34.59081985354423,-0.013740054694062564,19.901721954345703,20,0.2,0.012718869,0.0003,0.15894639492034912,-1.0762693554162979
3,2573,16.99,4,5.99,8192,0.150537109375,34.2538402557373,-0.01762185787956696,13.074592590332031,30,0.2,0.00851267,0.0003,0.2023422122001648,-1.059713229164481
3,3176,19.47,5,8.47,10240,0.160400390625,37.11034998893738,-0.015785505223902874,19.14103889465332,40,0.2,0.012590931,0.0003,0.2018749713897705,-1.0321953773498536
3,3761,22.49,6,11.49,12288,0.146826171875,38.28977470397949,-0.01123703866469441,22.718931198120117,50,0.2,0.0134827085,0.0003,0.21483087539672852,-1.0057273978367447
3,4348,23.3,7,12.3,14336,0.11337890625,38.54664447903633,0.0008417245102464221,21.263904571533203,60,0.2,0.008722069,0.0003,0.25685441493988037,-0.9782253343611955
3,4924,26.22,8,15.22,16384,0.1552734375,42.898958975076674,-0.008471074511180631,26.19467544555664,70,0.2,0.01340084,0.0003,0.254851758480072,-0.9563347563147545
3,5486,29.94,9,18.94,18432,0.097265625,50.43192437291145,-0.0013061360819847322,27.111114501953125,80,0.2,0.009377038,0.0003,0.2339504361152649,-0.9249848738312721
3,6051,29.99,10,18.99,20480,0.09267578125,56.50716404914856,-0.004196896207577083,24.611194610595703,90,0.2,0.011323679,0.0003,0.22251856327056885,-0.8944993725046515
3,6607,28.94,11,17.94,22528,0.064990234375,58.291415619850156,2.3584661539644004e-05,36.88627243041992,100,0.2,0.0051853787,0.0003,0.2512390613555908,-0.8855863943696022
3,7163,31.34,12,20.34,24576,0.092529296875,65.54675421714782,0.003087759343907237,39.16733932495117,110,0.2,0.017560849,0.0003,0.1783478856086731,-0.819519042596221
3,7711,34.32,13,23.32,26624,0.0810546875,64.75769950151444,0.0010880279267439618,31.98941993713379,120,0.2,0.006241233,0.0003,0.22015488147735596,-0.7834304697811604
3,8262,33.17,14,22.17,28672,0.124560546875,71.44824837446212,-4.162661789450794e-05,27.63739013671875,130,0.2,0.014075937,0.0003,0.17810046672821045,-0.7516619978472591
3,8798,37.47,15,26.47,30720,0.09892578125,71.52359727621078,0.0001091667334549129,37.193634033203125,140,0.2,0.009664765,0.0003,0.17728334665298462,-0.7545114405453205
3,9345,38.69,16,27.69,32768,0.09697265625,78.45557650327683,0.0006137964359368197,33.53524398803711,150,0.2,0.013792492,0.0003,0.16216647624969482,-0.7012645214796066
3,9887,39.27,17,28.27,34816,0.115625,91.50438479185104,-0.005465263155929279,39.32857131958008,160,0.2,0.011810787,0.0003,0.17192786931991577,-0.7110219493508338
3,10421,43.43,18,32.43,36864,0.10439453125,88.00385715961457,0.001597151740861591,40.21415710449219,170,0.2,0.009385003,0.0003,0.14745378494262695,-0.7361114928498864
3,10956,46.95,19,35.95,38912,0.109033203125,103.25964995622635,-0.0016212204485782423,77.93618774414062,180,0.2,0.015555112,0.0003,0.12174332141876221,-0.6877959491685033
3,11492,45.62,20,34.62,40960,0.111376953125,120.54859731197357,-0.0003385328527656384,50.22197341918945,190,0.2,0.011044496,0.0003,0.14684581756591797,-0.695574476569891
3,12025,42.89,21,31.89,43008,0.132275390625,108.21828289031983,0.0007906932092737407,44.15914535522461,200,0.2,0.011337668,0.0003,0.14043569564819336,-0.6763881560415029
3,12554,46.43,22,35.43,45056,0.053076171875,112.5296868801117,-0.0059206654172157865,42.448909759521484,210,0.2,0.0056436537,0.0003,0.12385046482086182,-0.6259839126840234
3,13084,49.07,23,38.07,47104,0.092431640625,122.18227617740631,0.00024633104330860076,66.432373046875,220,0.2,0.01249777,0.0003,0.06228131055831909,-0.5890017187222838
3,13601,56.43,24,45.43,49152,0.086474609375,124.04315328598022,-0.002513398978044279,44.898441314697266,230,0.2,0.011905296,0.0003,0.1198657751083374,-0.5859792861156166
3,14130,55.06,25,44.06,51200,0.083349609375,115.09455481767654,0.003076486497593578,59.32363510131836,240,0.2,0.00948005,0.0003,-0.002686142921447754,-0.5582996904850006
3,14650,59.38,26,48.38,53248,0.08232421875,133.64134473800658,-0.0010879086155910044,59.73646926879883,250,0.2,0.006908803,0.0003,0.11298203468322754,-0.5473988036625087
3,15164,58.41,27,47.41,55296,0.06494140625,131.58783626556396,-0.0009674474342318718,62.72392654418945,260,0.2,0.0069642994,0.0003,0.07022881507873535,-0.5205946255475282
3,15684,61.66,28,50.66,57344,0.0357421875,120.51835098266602,0.002703534631291404,41.57883834838867,270,0.2,0.0027581546,0.0003,0.0888904333114624,-0.49263764200732113
3,16200,63.69,29,52.69,59392,0.063427734375,146.0630449295044,-6.846292380942031e-05,69.00938415527344,280,0.2,0.0072365454,0.0003,0.10965687036514282,-0.504866111278534
3,16713,64.67,30,53.67,61440,0.076904296875,134.02819697856904,0.004270798389916309,43.85782241821289,290,0.2,0.0061242543,0.0003,0.1039353609085083,-0.4834199585951865
3,17217,72.4,31,61.4,63488,0.0783203125,157.5065889120102,0.0005600752570899204,77.75995635986328,300,0.2,0.011531272,0.0003,0.1193510890007019,-0.42933081174269316
3,17727,73.84,32,62.84,65536,0.082275390625,136.06184318065644,0.004612466183607467,71.41754150390625,310,0.2,0.009306009,0.0003,0.039025068283081055,-0.4268501909449697
3,18232,78.21,33,67.21,67584,0.08076171875,162.05054450035095,0.004705301807553042,89.4618148803711,320,0.2,0.015942853,0.0003,0.11806094646453857,-0.41674158703535796
3,18745,78.87,34,67.87,69632,0.0962890625,152.17555820941925,0.004596464159112657,93.1971206665039,330,0.2,0.0037897087,0.0003,0.06315219402313232,-0.42981997663155197
3,19248,77.22,35,66.22,71680,0.07099609375,161.79084174633027,0.0019052001240197568,122.11148071289062,340,0.2,0.006481669,0.0003,0.11931478977203369,-0.4112322345376015
3,19758,78.58,36,67.58,73728,0.06708984375,153.78209183216094,0.0048783657286548985,94.4025650024414,350,0.2,0.01285222,0.0003,0.08224672079086304,-0.41215013032779096
3,20269,75.13,37,64.13,75776,0.062744140625,152.33894028663636,0.004806113644735888,62.108924865722656,360,0.2,0.0082814675,0.0003,0.08142250776290894,-0.4136846479959786
3,20778,74.97,38,63.97,77824,0.065234375,165.99440264701843,0.002707047406875063,79.93266296386719,370,0.2,0.0054303864,0.0003,0.13068634271621704,-0.42937975293025377
3,21320,70.59,39,59.59,79872,0.07255859375,156.83956124782563,0.0016077509673777968,54.98524475097656,380,0.2,0.00860141,0.0003,0.09057861566543579,-0.41650415686890485
3,21825,74.6,40,63.6,81920,0.076171875,171.22197873592376,0.007705125595384743,85.89078521728516,390,0.2,0.015859053,0.0003,0.08551150560379028,-0.42595370803028343
3,22336,75.74,41,64.74,83968,0.06103515625,158.68246428966523,0.0022611017207964323,84.95040130615234,400,0.2,0.0065087816,0.0003,0.05967557430267334,-0.42403222946450114
3,22841,77.85,42,66.85,86016,0.071923828125,176.71993248462678,0.008105865013203584,58.82923126220703,410,0.2,0.007832667,0.0003,0.089610755443573,-0.41555907698348166
3,23348,79.67,43,68.67,88064,0.068994140625,171.67493257522582,0.0033592694817343727,88.59151458740234,420,0.2,0.008871426,0.0003,0.06611847877502441,-0.37180608361959455
3,23855,78.75,44,67.75,90112,0.090234375,166.12652282714845,0.00952946434408659,86.94432067871094,430,0.2,0.016523018,0.0003,0.09278064966201782,-0.3710333069320768
3,24363,77.45,45,66.45,92160,0.081884765625,154.05572488307953,0.005445963102101814,88.44145202636719,440,0.2,0.013757488,0.0003,0.05920141935348511,-0.4270322801545262
3,24873,74.72,46,63.72,94208,0.0869140625,167.02620689868928,0.006151139090070501,99.4783935546875,450,0.2,0.015035518,0.0003,0.05444556474685669,-0.3714693907648325
3,25376,77.69,47,66.69,96256,0.09921875,151.23102674484252,0.007134772927383892,68.85581970214844,460,0.2,0.01360039,0.0003,0.0886029601097107,-0.36585084442049265
3,25885,74.87,48,63.87,98304,0.08203125,151.355166554451,0.004075480747269466,68.4212417602539,470,0.2,0.010713268,0.0003,0.04026061296463013,-0.4012713167816401
3,26398,73.31,49,62.31,100352,0.06455078125,159.0257823228836,0.0020703456408227793,68.97245025634766,480,0.2,0.0069809505,0.0003,0.09258466958999634,-0.39515004875138404
